,DRUG_ID,DRUG_NAME,DISEASES,PHASE
12794,D0C3JB,MB-102,Acute myeloid leukaemia , Phase 1
12795,D0C3LL,HER1-VSSP vaccine,Solid tumour/cancer , Phase 2
12796,D0C3LM,RAS-111,Sepsis , Terminated
12797,D0C3LP,Prezatide copper acetate,Diabetic foot ulcer , Approved
12798,D0C3LQ,Ulocuplumab,Multiple myeloma , Phase 3
12799,D0C3LQ,Ulocuplumab,Haematological malignancy , Phase 1/2
12800,D0C3MW,MBO7133,Liver cancer , Phase 1/2
12801,D0C3RF,REP-9AC,Hepatitis B virus infection , Preclinical
12802,D0C3RK,N-(phenylpyrazolyl)benzamide derivative 1,Pruritus , Patented
12803,D0C3RK,N-(phenylpyrazolyl)benzamide derivative 1,Solid tumour/cancer , Patented
12804,D0C3RK,N-(phenylpyrazolyl)benzamide derivative 1,Chronic pain , Patented
12805,D0C3RK,N-(phenylpyrazolyl)benzamide derivative 1,Neuropathic pain , Patented
12806,D0C3RK,N-(phenylpyrazolyl)benzamide derivative 1,Thymic cancer , Patented
12807,D0C3RP,TDI-0074,Motor neurone disease , Investigative
12808,D0C3SW,Lesinurad,Hyperuricaemia , Approved
12809,D0C3TE,TEI-9874,Allergy , Terminated
12810,D0C3TI,Resimmune,Cutaneous T-cell lymphoma , Phase 2
12811,D0C3TI,Resimmune,Melanoma , Phase 1/2
12812,D0C3UC,Ladostigil,Alzheimer disease , Phase 2
12813,D0C3VQ,Zadaxin/lamivudine,Hepatitis B virus infection , Phase 2
12814,D0C3WS,EC-301,Diabetic retinopathy , Investigative
12815,D0C3XD,BIO-11006,Chronic obstructive pulmonary disease , Phase 2
12816,D0C3XD,BIO-11006,Non-small-cell lung cancer , Phase 2
12817,D0C3XN,AG-1321002,Fever , Approved
12818,D0C3YN,Heparin low molecular weight,Thrombosis , Phase 3
12819,D0C3YQ,Mesna,Urinary dysfunction , Approved
12820,D0C3ZR,TG100-115,Myocardial infarction , Phase 1/2
12821,D0C3ZR,TG100-115,Angioedema , Phase 1/2
12822,D0C3ZZ,BNC375,Cognitive impairment , Phase 1
12823,D0C4AM,Pramlintide,Type-1/2 diabetes , Approved
12824,D0C4AY,REGN 3051,Middle East Respiratory Syndrome (MERS) , Discontinued in Phase 1
12825,D0C4BD,KH-901,Solid tumour/cancer , Phase 1
12826,D0C4BI,EX-1314,Cachexia , Investigative
12827,D0C4BL,Coxsackievirus A21,Glioblastoma multiforme , Phase 2
12828,D0C4BL,Coxsackievirus A21,Bladder cancer , Phase 1/2
12829,D0C4BL,Coxsackievirus A21,Lung cancer , Phase 1/2
12830,D0C4BL,Coxsackievirus A21,Melanoma , Phase 1/2
12831,D0C4BL,Coxsackievirus A21,Prostate cancer , Phase 1/2
12832,D0C4CJ,SF-105,Infectious disease , Investigative
12833,D0C4DH,Glecaprevir; pibrentasvir,Hepatitis C virus infection , Approved
12834,D0C4DZ,ThermoProfen,Pain , Phase 3
12835,D0C4EQ,ATYR-0030,Immune System disease , Investigative
12836,D0C4FA,BAX-855,Haemophilia A , Phase 3
12837,D0C4FS,DT-200,Duchenne dystrophy , Phase 1
12838,D0C4FT,HEXESTROL,Irregularities , Withdrawn from market
12839,D0C4GN,CD33-CAR-T Cell,Haematopoietic/lymphoid cancer , Phase 1
12840,D0C4GN,CD33-CAR-T Cell,Acute myeloid leukaemia , Phase 1
12841,D0C4GX,GBL-310,Keratosis , Phase 2
12842,D0C4HG,Levosimendan,Congestive heart failure , Approved
12843,D0C4HG,Levosimendan,Heart failure , Phase 4
12844,D0C4HG,Levosimendan,Cardiac output syndrome , Phase 3
12845,D0C4HG,Levosimendan,Pulmonary hypertension , Phase 2
12846,D0C4HZ,PLR-9,Bacterial infection , Terminated
12847,D0C4JI,DK-0141,Acute lung injury , Investigative
12848,D0C4JV,ISC-4,Solid tumour/cancer , Investigative
12849,D0C4JX,QX-314,Pain , Terminated
12850,D0C4KE,MIM-3Aa,Ocular disease , Investigative
12851,D0C4KT,XOMA 052,Type-2 diabetes , Phase 3
12852,D0C4LF,ARRY-162,Melanoma , Approved
12853,D0C4NF,FMP-825,Diabetic complication , Investigative
12854,D0C4NY,Promestriene,Acne vulgaris , Approved
12855,D0C4PB,LY3381916,Solid tumour/cancer , Phase 1
12856,D0C4QN,ROTIGAPTIDE,Cardiac arrhythmias , Phase 2
12857,D0C4RB,Taxol,Solid tumour/cancer , Approved
12858,D0C4RB,Taxol,Breast cancer , Approved
12859,D0C4RB,Taxol,Pancreatic cancer , Phase 3
12860,D0C4RB,Taxol,Gastric adenocarcinoma , Phase 2
12861,D0C4RB,Taxol,Ovarian cancer , Phase 2
12862,D0C4SH,ZK-209614,Conjunctivitis , Investigative
12863,D0C4TB,Pyrazole derivative 22,Obesity , Patented
12864,D0C4UU,TDI-0099,Motor neurone disease , Investigative
12865,D0C4VN,GM3 ganglioside vaccine,Breast cancer , Phase 3
12866,D0C4WC,Disitertide,Macular degeneration , Phase 2
12867,D0C4WY,SP-08,Alzheimer disease , Investigative
12868,D0C4YA,AG-331,Solid tumour/cancer , Discontinued in Phase 1
12869,D0C4YC,Mesalazine,Ulcerative colitis , Approved
12870,D0C4YF,TAN-1518A,Carcinoma , Terminated
12871,D0C4YQ,GSK315234,Rheumatoid arthritis , Phase 2
12872,D0C5CE,Nabiximols,Cancer related pain , Phase 3
12873,D0C5CE,Nabiximols,Muscle spasm , Phase 3
12874,D0C5DM,SC-52150,Vomiting , Terminated
12875,D0C5EG,A-366,Solid tumour/cancer , Preclinical
12876,D0C5FA,Duvortuxizumab,B-cell lymphoma , Phase 1
12877,D0C5FQ,BHT-3009,Multiple sclerosis , Phase 2
12878,D0C5HV,R zileuton,Asthma , Terminated
12879,D0C5IZ,H1N1 vaccine,Influenza virus infection , Phase 1
12880,D0C5JH,Rimantadine,Influenza virus infection , Approved
12881,D0C5JH,Rimantadine,Severe acute respiratory syndrome (SARS) , Investigative
12882,D0C5JQ,JNJ-40346527,Hodgkin lymphoma , Phase 2
12883,D0C5KG,ORG-33628,Contraception , Discontinued in Phase 2
12884,D0C5LI,SL-91.0893,Prostate hyperplasia , Terminated
12885,D0C5LJ,ADC-1013,Solid tumour/cancer , Phase 1
12886,D0C5MT,Rintatolimod,Chronic fatigue syndrome , phase 3
12887,D0C5MT,Rintatolimod,Coronavirus Disease 2019 (COVID-19) , Phase 1/2
12888,D0C5ND,RO-17,Ulcer , Investigative
12889,D0C5NP,AGG-523,Osteoarthritis , Phase 1
12890,D0C5NT,PMID25666693-Compound-114,Osteoarthritis pain , Patented
12891,D0C5NT,PMID25666693-Compound-114,Cancer related pain , Patented
12892,D0C5NT,PMID25666693-Compound-114,Neuropathic pain , Patented
12893,D0C5NT,PMID25666693-Compound-114,Inflammatory pain , Patented
12894,D0C5OF,Ro-44-3949,Bacterial infection , Terminated
12895,D0C5OK,Drug 2838232,Human immunodeficiency virus infection , Phase 1
12896,D0C5PA,Sibenadet,Chronic obstructive pulmonary disease , Discontinued in Phase 3
12897,D0C5SO,RS-PPCC,Coronavirus Disease 2019 (COVID-19) , Investigative
12898,D0C5UE,Ipoxyn,Ischemia , Investigative
12899,D0C5VP,AB-1003,Insomnia , Investigative
12900,D0C5VQ,PRX-321,Solid tumour/cancer , Phase 2
12901,D0C5WE,AGT-2000,Brain cancer , Investigative
12902,D0C5WK,LY-392098,Cognitive impairment , Investigative
12903,D0C5WR,Cobalt chelate complex CTC-96 dermatological,Conjunctivitis , Phase 2
12904,D0C5XC,Clemastine,Allergic rhinitis , Approved
12905,D0C5XF,GSK-1344386B,Arteriosclerosis , Investigative
12906,D0C5YK,NMI-102,Inflammation , Terminated
12907,D0C5YQ,SDZ-62-826,Solid tumour/cancer , Terminated
12908,D0C6BJ,VII-7-B,Anxiety disorder , Investigative
12909,D0C6DT,Esomeprazole,Peptic ulcer , Approved
12910,D0C6DU,TVX-003,Influenza virus infection , Investigative
12911,D0C6DX,CardiALLO,Heart failure , Phase 1
12912,D0C6EA,XZK,Hyperlipidaemia , Phase 2
12913,D0C6FL,SPD-704,Neisseria meningitis infection , Terminated
12914,D0C6GK,EPZ-5676,Acute myeloid leukaemia , Phase 1/2
12915,D0C6GK,EPZ-5676,Acute lymphoblastic leukaemia , Phase 1
12916,D0C6GK,EPZ-5676,Acute lymphocytic leukaemia , Phase 1
12917,D0C6HM,Cebaracetam,Cognitive impairment , Discontinued in Phase 2
12918,D0C6ID,Citatuzumab bogatox,Solid tumour/cancer , Phase 1
12919,D0C6IQ,Stamulumab,Duchenne dystrophy , Phase 1/2
12920,D0C6KK,RT002,Glabellar frown line , Phase 3
12921,D0C6KS,KiroVAX-002,Haematological malignancy , Phase 1/2
12922,D0C6MS,PF-04991532,Diabetic complication , Phase 2
12923,D0C6ND,AIR-insulin,Diabetic complication , Phase 3
12924,D0C6NM,Latanoprost,Open-angle glaucoma , Approved
12925,D0C6NM,Latanoprost,Glaucoma/ocular hypertension , Phase 2
12926,D0C6NM,Latanoprost,Ocular disease , Investigative
12927,D0C6NV,RUT58-60,Bacterial infection , Phase 1/2
12928,D0C6OQ,Alclofenac,Rheumatoid arthritis , Approved
12929,D0C6PL,Sm-p80-VR1020,Schistosomiasis , Investigative
12930,D0C6PS,Muromonab,Organ transplant rejection , Approved
12931,D0C6QG,Manganese Chloride Tetrahydrate,Overactive bladder , Approved
12932,D0C6QQ,Besipirdine,Cognitive impairment , Phase 3
12933,D0C6RD,Ypeginterferon alfa-2b,Hepatitis B virus infection , Phase 2
12934,D0C6RM,BAY1436032,Acute myeloid leukaemia , Phase 1
12935,D0C6RM,BAY1436032,Solid tumour/cancer , Phase 1
12936,D0C6RR,ACTR087 + rituximab,B-cell lymphoma , Phase 1
12937,D0C6TL,Leptin,Alzheimer disease , Investigative
12938,D0C6VK,Lm Prostate,Prostate cancer , Investigative
12939,D0C6VO,StrataGraft,Burn and burn infection , Phase 1/2
12940,D0C6VV,Prolarix,Solid tumour/cancer , Phase 2
12941,D0C6VX,PMID25684022-Compound-WO2010127754,Solid tumour/cancer , Patented
12942,D0C6VX,PMID25684022-Compound-WO2010127754,Metastatic cancer , Patented
12943,D0C6XD,BCL-005,Melanoma , Investigative
12944,D0C6XR,Trimegestone/ethinyl estradiol,Contraception , Phase 3
12945,D0C6YH,ARC-2022,Postherpetic neuralgia , Phase 1/2
12946,D0C6YQ,BCL201,Follicular lymphoma , Phase 1
12947,D0C6YQ,BCL201,Mantle cell lymphoma , Phase 1
12948,D0C6ZS,CpG-10101,Hepatitis C virus infection , Phase 2
12949,D0C6ZX,KW-3357,Coagulation defect , Phase 3
12950,D0C7AA,Ozagrel,Xerophthalmia , Phase 4
12951,D0C7AA,Ozagrel,Chronic obstructive pulmonary disease , Phase 1
12952,D0C7CS,ALN-HPN,Anemia , Investigative
12953,D0C7CV,Atu-134,Lung injury , Investigative
12954,D0C7DY,S. pneumococcal next-generation vaccine,Streptococcus infection , Phase 2
12955,D0C7ET,Tetrodotoxin,Bacterial infection , Approved
12956,D0C7FN,BMY-40062,Bacterial infection , Terminated
12957,D0C7GJ,Long-acting factor VIII,Coagulation defect , Investigative
12958,D0C7JF,Testolactone,Breast cancer , Approved
12959,D0C7JH,TP-9201,Thrombosis , Discontinued in Phase 1
12960,D0C7JT,YM-976,Asthma , Discontinued in Phase 1
12961,D0C7KB,Nova-EPO,Anemia , Investigative
12962,D0C7KK,Zenarestat,Diabetic neuropathy , Terminated
12963,D0C7LA,MAR--99,Asthma , Investigative
12964,D0C7LD,Pemfexy,Mesothelioma , Application submitted
12965,D0C7LD,Pemfexy,Non-small-cell lung cancer , Application submitted
12966,D0C7LF,DACOPAFANT,Sepsis , Discontinued in Phase 1
12967,D0C7NU,(S)-8-Hydroxy palmitic acid,Solid tumour/cancer , Investigative
12968,D0C7OQ,BIWB-1,Melanoma , Discontinued in Phase 2
12969,D0C7OT,CN54gp140-hsp70 conjugate vaccine,Human immunodeficiency virus infection , Phase 1
12970,D0C7QW,XMetS,Non-insulin dependent diabetes , Investigative
12971,D0C7RV,SR12813,Arteriosclerosis , Terminated
12972,D0C7TO,Tr-3,Solid tumour/cancer , Investigative
12973,D0C7UR,AGI-1096,Transplant rejection , Discontinued in Phase 1
12974,D0C7WO,1192U90,Psychotic disorder , Phase 1
12975,D0C7WO,1192U90,Schizophrenia , Terminated
12976,D0C7WP,SB-431542,Pulmonary fibrosis , Preclinical
12977,D0C7XM,P2045,Small-cell lung cancer , Phase 1/2
12978,D0C7XM,P2045,Non-small-cell lung cancer , Phase 1/2
12979,D0C7YE,NKR-2,Haematological malignancy , Phase 1/2
12980,D0C7YE,NKR-2,Solid tumour/cancer , Phase 1/2
12981,D0C7YH,PMX-900,Solid tumour/cancer , Investigative
12982,D0C7ZB,GSK3196165,Rheumatoid arthritis , Phase 2
12983,D0C8AL,Fluoropeptide vaccine,Influenza virus infection , Phase 2
12984,D0C8AP,AG-348,Pyruvate kinase deficiency , Phase 2
12985,D0C8DC,Ki-1769,Hypertension , Terminated
12986,D0C8DD,Losmapimod,Acute coronary syndrome , Phase 3
12987,D0C8EB,PMID26651364-Compound-45,Crohn disease , Patented
12988,D0C8EB,PMID26651364-Compound-45,Ulcerative colitis , Patented
12989,D0C8EB,PMID26651364-Compound-45,Urinary tract infection , Patented
12990,D0C8ES,CBL0102,Hepatocellular carcinoma , Phase 1/2
12991,D0C8EU,Temozolomide,Grade IV astrocytoma , Approved
12992,D0C8FX,Pyrithione Zinc,Seborrhoeic dermatitis , Approved
12993,D0C8HR,Halometasone,Inflammation , Approved
12994,D0C8IF,LY3154207,Parkinson disease , Phase 2
12995,D0C8JW,Muscular dystrophy gene therapy,Duchenne dystrophy , Phase 1
12996,D0C8KF,Resiquimod,Actinic keratosis , Phase 2
12997,D0C8KF,Resiquimod,Cutaneous T-cell lymphoma , Phase 2
12998,D0C8KF,Resiquimod,Herpes simplex virus infection , Phase 1/2
12999,D0C8KP,Santalum album,Psoriasis vulgaris , Phase 2
13000,D0C8KY,SYN-1001,Pain , Phase 1
13001,D0C8LG,CLT-010,Solid tumour/cancer , Investigative
13002,D0C8MG,SELA-212,Gout , Phase 2
13003,D0C8NG,BI 655064,Lupus , Phase 2
13004,D0C8NG,BI 655064,Rheumatoid arthritis , Phase 1
13005,D0C8NG,BI 655064,Thrombocytopenia , Phase 1
13006,D0C8NK,TG-21,Influenza virus infection , Investigative
13007,D0C8PE,JNJ-37822681,Schizophrenia , Phase 2
13008,D0C8PI,Zoniporide hydrochloride,Angina pectoris , Phase 3
13009,D0C8PQ,CVS-3083,Solid tumour/cancer , Terminated
13010,D0C8PW,Albunex,Female infertility , Approved
13011,D0C8QA,KITE-585,Multiple myeloma , Phase 1
13012,D0C8QS,Ragwitek,Allergic rhinitis , Approved
13013,D0C8RH,Cericlamine,Anxiety disorder , Discontinued in Phase 3
13014,D0C8RW,Rec-antihemophilic factor,Hemophilia , Approved
13015,D0C8TD,Thrombin-JMI,Bleeding disorder , Approved
13016,D0C8UN,KT-3799,Carbacephem , Investigative
13017,D0C8VF,Galcanezumab,Hyperprolactinaemia , Approved
13018,D0C8XT,DLO6001,Parkinson disease , Investigative
13019,D0C8ZD,A-71623,Obesity , Terminated
13020,D0C8ZZ,PMID25666693-Compound-12,Osteoarthritis pain , Patented
13021,D0C8ZZ,PMID25666693-Compound-12,Cancer related pain , Patented
13022,D0C8ZZ,PMID25666693-Compound-12,Neuropathic pain , Patented
13023,D0C8ZZ,PMID25666693-Compound-12,Inflammatory pain , Patented
13024,D0C9AQ,MBI 1121,Solid tumour/cancer , Discontinued in Phase 1
13025,D0C9AV,Mical (1),Plaque psoriasis , Phase 2
13026,D0C9DA,Calaspargase pegol,Acute lymphocytic leukaemia , Approved
13027,D0C9DA,Calaspargase pegol,Acute lymphoblastic leukaemia , Phase 3
13028,D0C9DB,424C79,Pain , Investigative
13029,D0C9EE,PAZELLIPTINE TRIHYDROCHLORIDE,Solid tumour/cancer , Discontinued in Phase 2
13030,D0C9EN,AZD5312,Prostate cancer , Phase 2
13031,D0C9ET,Aflibercept,Metastatic colorectal cancer , Approved
13032,D0C9FF,DNK-333,Irritable bowel syndrome , Discontinued in Phase 2
13033,D0C9FN,PMID25666693-Compound-87,Osteoarthritis pain , Patented
13034,D0C9FN,PMID25666693-Compound-87,Cancer related pain , Patented
13035,D0C9FN,PMID25666693-Compound-87,Neuropathic pain , Patented
13036,D0C9FN,PMID25666693-Compound-87,Inflammatory pain , Patented
13037,D0C9HE,Campyvax,Bacterial infection , Discontinued in Phase 2
13038,D0C9IS,P-9808,Porphyria , Phase 2
13039,D0C9IW,Factor viia,Hemophilia , Approved
13040,D0C9JI,Zn-DPA-B,Breast cancer , Investigative
13041,D0C9JJ,AR-12,Lymphoma , Phase 1
13042,D0C9JL,Y-23684,Anxiety disorder , Discontinued in Phase 3
13043,D0C9KQ,Genimune,Autoimmune diabetes , Terminated
13044,D0C9KW,AVN-457,Cognitive impairment , Investigative
13045,D0C9KX,TSD-0014,Prostate cancer , Phase 1
13046,D0C9KY,Pyridobenzimidazole,Fungal infection , Investigative
13047,D0C9LE,YPL-1101,Chronic obstructive pulmonary disease , Investigative
13048,D0C9LQ,LentiGlobin,Beta thalassemia , Phase 3
13049,D0C9LQ,LentiGlobin,Sickle-cell disorder , Phase 1
13050,D0C9MA,ACH-4471,Anaemia , Phase 2
13051,D0C9MA,ACH-4471,Glomerulonephritis , Phase 1
13052,D0C9MJ,Anti-MUC1 CAR-T cells,Colorectal cancer , Phase 1/2
13053,D0C9MJ,Anti-MUC1 CAR-T cells,Gastric adenocarcinoma , Phase 1/2
13054,D0C9MJ,Anti-MUC1 CAR-T cells,Malignant glioma , Phase 1/2
13055,D0C9NJ,STA-5326,Rheumatoid arthritis , Phase 2
13056,D0C9NJ,STA-5326,Crohn disease , Phase 2
13057,D0C9PZ,PT2385,Recurrent glioblastoma , Phase 2
13058,D0C9PZ,PT2385,Von hippel-lindau disease , Phase 2
13059,D0C9PZ,PT2385,Brain cancer , Investigative
13060,D0C9QM,TH-1011,Solid tumour/cancer , Investigative
13061,D0C9RF,CGEN-25007,Autoimmune diabetes , Investigative
13062,D0C9RM,Nano-PGE1,Peripheral arterial disease , Investigative
13063,D0C9RV,SRSS-016,Pain , Terminated
13064,D0C9RZ,BU-4601A,Asthma , Terminated
13065,D0C9SW,Somatropin intranasal rhGH,Growth hormone deficiency , Phase 2
13066,D0C9SY,Vardenafil,Erectile dysfunction , Approved
13067,D0C9TH,ALD-451,Cognitive impairment , Phase 1
13068,D0C9TP,CaspaCIDe donor lymphocyte infusion,Graft-versus-host disease , Phase 2
13069,D0C9WN,MKC-1106-PP,Solid tumour/cancer , Phase 1
13070,D0C9XA,GSK683699,Inflammatory bowel disease , Phase 2
13071,D0C9XJ,Epirubicin,Solid tumour/cancer , Approved
13072,D0CA0P,Certolizumab,Rheumatoid arthritis , Approved
13073,D0CA2S,HYDAMTIQ,Brain ischaemia , Investigative
13074,D0CA3J,GSK568859,Arteriosclerosis , Discontinued in Phase 1
13075,D0CA3M,Anti-meso-CAR T cells,Mesothelin Positive tumour , Phase 1
13076,D0CA6J,Tioconazole,Onychomycosis , Approved
13077,D0CA7B,BDM-I,Fungal infection , Investigative
13078,D0CB2B,Serlopitant,Prurigo nodularis , Phase 3
13079,D0CB2B,Serlopitant,Psoriasis vulgaris , Phase 2
13080,D0CB6N,AVI-6003,Marburg virus infection , Phase 1
13081,D0CB7L,Hepatitis B Hyperimmune,Hepatitis B virus infection , Investigative
13082,D0CB8W,DE-081,Conjunctivitis , Discontinued in Phase 2
13083,D0CB8W,DE-081,Ocular allergy , Terminated
13084,D0CC1Y,VML-262,Psoriasis vulgaris , Discontinued in Phase 2
13085,D0CC3O,APG-232,Solid tumour/cancer , Investigative
13086,D0CC8L,CRILVASTATIN,Hyperlipidaemia , Phase 2
13087,D0CD7Q,Beta-cyclodextrin conjugate derivative 4,Crohn disease , Patented
13088,D0CD7Q,Beta-cyclodextrin conjugate derivative 4,Ulcerative colitis , Patented
13089,D0CD7Q,Beta-cyclodextrin conjugate derivative 4,Urinary tract infection , Patented
13090,D0CE0O,Alisporivir,Duchenne dystrophy , Phase 3
13091,D0CE0Y,Anti-CD19-CAR-T cells,leukaemia , Phase 1/2
13092,D0CE1R,Antibodie derivative 7,Solid tumour/cancer , Patented
13093,D0CE5S,PD-4074,Diabetic complication , Investigative
13094,D0CE6C,LMI070,Spinal muscular atrophy , Phase 3
13095,D0CE6T,Elisartan potassium,Hypertension , Discontinued in Phase 2
13096,D0CE8J,Genaconazole,Fungal infection , Phase 1
13097,D0CE9S,S(377588)-Fc vaccine,Middle East Respiratory Syndrome (MERS) , Investigative
13098,D0CF0Y,Rolapitant,Chemotherapy-induced nausea , Approved
13099,D0CF2Q,Levamisole,Parasitic infection , Approved
13100,D0CF2Q,Levamisole,Colon cancer , Withdrawn from market
13101,D0CF3H,HG-1070,Solid tumour/cancer , Investigative
13102,D0CF3M,Sifuvirtide,Human immunodeficiency virus infection , Phase 3
13103,D0CF8T,Z-521,Hypophosphatasia , Phase 3
13104,D0CF8Y,Pyrazoline derivative 3,Obesity , Patented
13105,D0CG0K,ATI-502,Atopic dermatitis , Phase 2
13106,D0CG0K,ATI-502,Vitiligo , Phase 2
13107,D0CG0N,PRO-140,Human immunodeficiency virus infection , Phase 3
13108,D0CG1A,EBV-CTL,Post-transplant lymphoproliferative disorder , Phase 2
13109,D0CG8N,Tri-substituted urea derivative 2,Pruritus , Patented
13110,D0CG8N,Tri-substituted urea derivative 2,Solid tumour/cancer , Patented
13111,D0CG8N,Tri-substituted urea derivative 2,Chronic pain , Patented
13112,D0CG8N,Tri-substituted urea derivative 2,Neuropathic pain , Patented
13113,D0CG8N,Tri-substituted urea derivative 2,Thymic cancer , Patented
13114,D0CG8S,oxazine 89,Diabetic nephropathy , Clinical trial
13115,D0CG9E,SL-11093,Solid tumour/cancer , Preclinical
13116,D0CH1U,Interleukin-3,Aplastic anemia , Approved
13117,D0CH3F,Resorcinol compound 16,Albinism , Patented
13118,D0CH3F,Resorcinol compound 16,Ephelides , Patented
13119,D0CH3F,Resorcinol compound 16,Menkes disease , Patented
13120,D0CH3F,Resorcinol compound 16,Senile lentigines , Patented
13121,D0CH3F,Resorcinol compound 16,Melasma , Patented
13122,D0CH4A,SBC-102,Enzyme deficiency , Approved
13123,D0CH4T,Lu-02-750,Parkinson disease , Phase 1
13124,D0CH6B,ALZT-OP1,Alzheimer disease , Phase 3
13125,D0CH6Z,BBR 3576,Prostate cancer , Terminated
13126,D0CH7C,Basmisanil,Alzheimer disease , Phase 2
13127,D0CH7C,Basmisanil,Cognitive impairment , Phase 2
13128,D0CH7C,Basmisanil,Complete androgen insensitivity syndrome , Phase 2
13129,D0CH7C,Basmisanil,Immune dysregulation , Phase 2
13130,D0CH8E,Macrocyclic peptide analog 2,Solid tumour/cancer , Patented
13131,D0CH8E,Macrocyclic peptide analog 2,Infectious disease , Patented
13132,D0CH8E,Macrocyclic peptide analog 2,Human immunodeficiency virus infection , Patented
13133,D0CH8E,Macrocyclic peptide analog 2,Hepatitis , Patented
13134,D0CH9G,Pepvax,Cytomegalovirus Disease , Phase 2
13135,D0CI2U,Benzoic acid linked peptide analog 3,Albinism , Patented
13136,D0CI2U,Benzoic acid linked peptide analog 3,Ephelides , Patented
13137,D0CI2U,Benzoic acid linked peptide analog 3,Menkes disease , Patented
13138,D0CI2U,Benzoic acid linked peptide analog 3,Senile lentigines , Patented
13139,D0CI2U,Benzoic acid linked peptide analog 3,Melasma , Patented
13140,D0CI4B,MP-100,Anxiety disorder , Investigative
13141,D0CI4E,Pertuzumab,Breast cancer , Approved
13142,D0CI5O,SPD-474,Parkinson disease , Terminated
13143,D0CI9T,Ceftobiprole,Community-acquired pneumonia , Phase 3
13144,D0CI9T,Ceftobiprole,Skin and skin-structure infection , Phase 3
13145,D0CI9W,GSK-334429,Cognitive impairment , Investigative
13146,D0CJ3R,MS201408-0005C,Solid tumour/cancer , Phase 1
13147,D0CJ7Z,Abicipar pegol,Diabetic macular edema , Phase 2
13148,D0CK2C,ZP-10395,Solid tumour/cancer , Investigative
13149,D0CK3G,Ethinamate,Insomnia , Approved
13150,D0CK5J,SF-116,Glaucoma/ocular hypertension , Investigative
13151,D0CK7F,AOB103,Rosacea , Phase 2
13152,D0CK8H,Indazole derivative 1,Solid tumour/cancer , Patented
13153,D0CK8H,Indazole derivative 1,Metastatic cancer , Patented
13154,D0CL5D,Ragweed allergy vaccine,leukaemia , Phase 1
13155,D0CL9S,Telbivudine,Hepatitis B virus infection , Approved
13156,D0CM3Z,ATON-009,Metal intoxication , Phase 1
13157,D0CM5P,Quinazoline derivative 10,Cirrhosis , Patented
13158,D0CM5P,Quinazoline derivative 10,Chronic obstructive pulmonary disease , Patented
13159,D0CM5P,Quinazoline derivative 10,Psoriasis vulgaris , Patented
13160,D0CM5P,Quinazoline derivative 10,Multiple sclerosis , Patented
13161,D0CN6Q,PMID26651364-Compound-5c,Crohn disease , Patented
13162,D0CN6Q,PMID26651364-Compound-5c,Ulcerative colitis , Patented
13163,D0CN6Q,PMID26651364-Compound-5c,Urinary tract infection , Patented
13164,D0CN7A,PMID26651364-Compound-7c,Crohn disease , Patented
13165,D0CN7A,PMID26651364-Compound-7c,Ulcerative colitis , Patented
13166,D0CN7A,PMID26651364-Compound-7c,Urinary tract infection , Patented
13167,D0CN7I,IMC-CS4,Solid tumour/cancer , Phase 1
13168,D0CN8U,PF-06763809,Plaque psoriasis , Phase 1
13169,D0CN9D,Anetumab ravtansine,Malignant pleural mesothelioma , Phase 2
13170,D0CN9D,Anetumab ravtansine,Mesothelioma , Phase 2
13171,D0CN9D,Anetumab ravtansine,Solid tumour/cancer , Phase 2
13172,D0CN9D,Anetumab ravtansine,Ovarian cancer , Phase 1
13173,D0CN9Q,CP-724714,Lymphoma , Phase 2
13174,D0CO2M,S-9788,Solid tumour/cancer , Discontinued in Phase 2
13175,D0CO2W,AMG 301,Migraine , Phase 2
13176,D0CO2W,AMG 301,Hyperprolactinaemia , Investigative
13177,D0CO3N,esuberaprost,Gout , Phase 3
13178,D0CO3N,esuberaprost,Pulmonary arterial hypertension , Phase 3
13179,D0CO3O,RAP-701,Ovarian cancer , Investigative
13180,D0CO5F,ALLOD-2,Neuropathic pain , Phase 2
13181,D0CO5F,ALLOD-2,Chronic low back pain , Phase 2
13182,D0CO5F,ALLOD-2,Migraine , Phase 2
13183,D0CO6D,AMG 333,Migraine , Phase 1
13184,D0CO9B,Ad-p53,Solid tumour/cancer , Phase 2
13185,D0CO9B,Ad-p53,Colorectal cancer , Phase 1
13186,D0CP3Z,ALS-012117,Virus infection , Investigative
13187,D0CP4E,Clonazepam,Epilepsy , Approved
13188,D0CP4E,Clonazepam,Seizure disorder , Phase 2
13189,D0CP6B,3-(phenoxymethyl) benzylamine derivative 5,Albinism , Patented
13190,D0CP6B,3-(phenoxymethyl) benzylamine derivative 5,Ephelides , Patented
13191,D0CP6B,3-(phenoxymethyl) benzylamine derivative 5,Menkes disease , Patented
13192,D0CP6B,3-(phenoxymethyl) benzylamine derivative 5,Senile lentigines , Patented
13193,D0CP6B,3-(phenoxymethyl) benzylamine derivative 5,Melasma , Patented
13194,D0CP8N,Silmitasertib,Cholangiocarcinoma , phase 1/2
13195,D0CP8N,Silmitasertib,Coronavirus Disease 2019 (COVID-19) , Investigative
13196,D0CQ0Z,Penfluridol,Schizophrenia , Approved
13197,D0CQ1M,Heterocyclic-carboxamide derivative 2,Solid tumour/cancer , Patented
13198,D0CQ1M,Heterocyclic-carboxamide derivative 2,Metastatic cancer , Patented
13199,D0CQ1X,HTERT RNA vaccine,Acute myeloid leukaemia , Phase 2
